Unnamed: 0,job_id,job_title,country,isco_3,isco_3_label,hard_skills,tools,knowledge_domains,soft_skills,languages,education_level,education_field,digital_competences,green_competences,status
0,BG1,"Engineer, designer",Bulgaria,214,Engineering Professionals (excluding Electrotechnology),"['CAD design', 'Construction of roofs and walls', 'Preparation of quantity estimates', 'Project coordination']",[],"['Prefabricated elements', 'Structural units']","['Collaboration', 'Teamwork']",[],,,[],[],ok
1,BG2,"Engineer, investor control",Bulgaria,132,"Manufacturing, Mining, Construction and Distribution Managers","['quantity-cost estimating', 'construction supervision', 'site inspection', 'contractor monitoring', 'reporting', 'knowledge of legal provisions related to construction and control']",[],"['construction', 'legal provisions related to construction and control']","['compliance with internal rules and procedures', 'attention to detail']",[],,,[],[],ok
2,BG3,Service technician,Bulgaria,351,Information and Communications Technology Operations and User Support Technicians,"['Diagnosing lifts and platforms', 'Servicing generators', 'Filling out service protocols', 'Machine inspection', 'Machine cleaning']",[],"['Lift and platform maintenance', 'Generator maintenance']",[],[],,,[],[],ok
3,BG4,Technical Support Consultant – Swedish Speaking,Bulgaria,351,Information and Communications Technology Operations and User Support Technicians,"['customer support', 'technical troubleshooting', 'technical issue resolution']",[],"['customer experience solutions', 'technical products and services']","['positive attitude', 'genuine interest in technology', 'client experience and satisfaction']","['Swedish', 'English']",,,"['Interacting through digital technologies', 'Solving technical problems', 'Identifying needs and technological responses']",[],ok
4,BG5,"Organizer, processing of production information",Bulgaria,121,Business Services and Administration Managers,"['material needs planning', 'data analysis', 'stock level optimization', 'production flow coordination', 'ERP system usage', 'Excel']","['ERP system', 'Excel']","['material planning', 'production planning', 'inventory management']",[],['English'],,,"['Browsing, searching and filtering data, information and digital content', 'Managing data, information and digital content', 'Solving technical problems']",[],ok
5,BG6,"Machine operator, metalworking machines",Bulgaria,814,"Rubber, Plastic and Paper Products Machine Operators","['programming computer-controlled metalworking machines', 'assembling and installing fixtures and tools', 'loading cutting tools', 'operating metalworking machines in manual and automatic mode']","['computer-controlled metalworking machines', 'cutting tools', 'fixtures and tools for metalworking machines']","['metalworking machine operation', 'machine programming', 'tool assembly and installation']",[],[],,,['Programming'],[],ok
6,BG7,"Assembler, electrical equipment",Bulgaria,821,Assemblers,"['Connecting and mounting of grids', 'Connecting and mounting of cables', 'Connecting and mounting of panels', 'Technical literacy']",[],['Installation'],[],[],,,[],[],ok
7,BG8,"Assembler, cables",Bulgaria,821,Assemblers,"['Installation of video surveillance systems', 'Wiring for low-current installations']",[],"['Video surveillance systems', 'Low-current electrical installations']",[],[],,,[],[],ok
8,BG9,"Developer, software",Bulgaria,251,Software and Applications Developers and Analysts,"['software product maintenance', 'software system functioning', 'algorithm compilation', 'flowchart compilation', 'software assurance']",[],"['software products', 'software systems', 'information and software assurance']",[],[],,,[],[],ok
9,BG10,"Developer, interactive content",Bulgaria,251,Software and Applications Developers and Analysts,"['user interface design', 'digital design system development', 'user experience design', 'mockup creation', 'design specification development', 'agile methodology']",[],"['user interface design', 'user experience', 'digital design systems', 'agile software development']","['collaboration', 'stakeholder management', 'user feedback implementation', 'cross-departmental communication']",[],,,"['Collaborating through digital technologies', 'Managing data, information and digital content', 'Integrating and re-elaborating digital content']",[],ok
10,BG11,"Employee, maintenance",Bulgaria,962,Other Elementary Workers,"['garden maintenance', 'pool maintenance', 'material and supplies management']",[],"['garden care', 'pool care']",[],[],,,[],[],ok
11,BG12,"Technical Leader, Construction",Bulgaria,132,"Manufacturing, Mining, Construction and Distribution Managers","['technical documentation preparation', 'document archiving and storage', 'document compliance monitoring', 'construction process coordination']",[],"['construction process', 'technical documentation', 'engineering communication']","['coordination', 'communication', 'organization', 'monitoring']",[],,,"['Managing data, information and digital content', 'Interacting through digital technologies', 'Collaborating through digital technologies']",[],ok
12,BG13,"Developer, software",Bulgaria,251,Software and Applications Developers and Analysts,"['C++ application development', 'Software design', 'Code review', 'Agile/Scrum methodology']",[],"['Software engineering', 'Agile development']","['Team collaboration', 'Communication']",[],,,['Collaborating through digital technologies'],[],ok
13,BG14,"Expert, design and programming",Bulgaria,251,Software and Applications Developers and Analysts,"['network security', 'automation systems', 'cybersecurity', 'integration with ERP', 'integration with MES', 'integration with data historian', 'software platform integration', 'project contractor selection', 'new device and system implementation', 'IT and automation documentation preparation', 'software product acceptance and commissioning', 'industrial network protection']",[],"['automation', 'cybersecurity', 'industrial networks', 'software platforms']","['investigative skills', 'collaboration', 'communication']","['Bulgarian', 'English']",,,"['Protecting devices', 'Protecting personal data and privacy', 'Solving technical problems', 'Managing data, information and digital content', 'Interacting through digital technologies', 'Collaborating through digital technologies']",[],ok
14,BG15,"Operator, user support",Bulgaria,351,Information and Communications Technology Operations and User Support Technicians,"['Customer service', 'Handling non-technical issues', 'Client communication']","['Microsoft', 'OpenText']",['Corporate client management'],['Written communication'],['English'],,,"['Interacting through digital technologies', 'Sharing through digital technologies']",[],ok
15,BG16,"Programmer, software applications",Bulgaria,251,Software and Applications Developers and Analysts,"['.NET programming', 'software development', 'data collection', 'report preparation', 'software testing', 'code documentation', 'software research and recommendation']",[],"['software development', 'statistical data analysis', 'CRM systems']","['team interaction', 'communication']",[],,,"['Managing data, information and digital content', 'Interacting through digital technologies', 'Evaluating data, information and digital content']",[],ok
16,BG17,"Engineer, building and construction of buildings and structures",Bulgaria,214,Engineering Professionals (excluding Electrotechnology),"['Site visit', 'Inspection', 'Information gathering', 'Processing and analyzing data', 'Report preparation', 'Maintaining legal and regulatory databases', 'Energy efficiency design', 'Technical certification of buildings']",[],"['Thermal Engineering', 'Thermal Energy', 'Energy efficiency', 'Building technical certification', 'Laws and regulations in thermal energy']","['Collaboration', 'Desire for development']",[],bachelor,Thermal Engineering or Thermal Energy or their derivatives,"['Managing data, information and digital content', 'Evaluating data, information and digital content', 'Browsing, searching and filtering data, information and digital content']","['Valuing sustainability', 'Adaptability']",ok
17,BG18,"Construction technician, project-technical department",Bulgaria,314,Life Science Technicians and Related Associate Professionals,"['energy efficiency assessments', 'site inspections', 'data collection and processing', 'documentation maintenance', 'energy project optimization']",[],"['energy efficiency', 'building engineering', 'energy project management']",['collaboration'],[],,,"['Managing data, information and digital content', 'Collaborating through digital technologies']",['Valuing sustainability'],ok
18,BG19,"Programmer, software applications",Bulgaria,251,Software and Applications Developers and Analysts,"['software development', 'database development', 'program algorithm creation', 'software solution design', 'software protection implementation', 'hardware and software requirements determination', 'user manual preparation', 'product presentation', 'staff training']",[],"['software products', 'databases', 'software protection', 'quality systems']","['consultation', 'communication', 'training', 'following procedures']",[],,,"['Protecting devices', 'Copyright and licences', 'Developing digital content', 'Managing data, information and digital content', 'Interacting through digital technologies', 'Sharing through digital technologies']",[],ok
19,BG20,"Technician, computer systems",Bulgaria,351,Information and Communications Technology Operations and User Support Technicians,"['building cable networks', 'maintaining cable networks', 'video surveillance systems', 'intercom systems', 'security alarm systems', 'diagnosing hardware issues', 'resolving hardware issues', 'diagnosing software issues', 'resolving software issues']",[],"['security systems', 'cable networks', 'video surveillance', 'intercom systems', 'security alarm systems', 'hardware troubleshooting', 'software troubleshooting']",[],[],,,['Solving technical problems'],[],ok
20,BG21,Turner,Bulgaria,722,"Blacksmiths, Toolmakers and Related Trades Workers","['Restoring damaged parts for electric motors', 'Operating universal lathes', 'Operating milling machines', 'Machining complex configuration parts', 'Checking accuracy of machined parts', 'Grinding tools with templates and protractors']","['Universal lathes', 'Milling machines', 'Templates', 'Protractors']","['Electric motors', 'Machining', 'Tool grinding']",[],[],,,[],[],ok
21,BG22,"Machine operator, metalworking machines",Bulgaria,814,"Rubber, Plastic and Paper Products Machine Operators","['Commissioning metal cutting machines', 'Operating lathes', 'Operating mills', 'Operating drilling machines', 'Operating grinding machines', 'Operating planers', 'Operating polishing machines', 'Operating multifunctional metalworking machines with numerical control', 'Monitoring machine operations', 'Detecting defects in finished products', 'Adjusting machines', 'Measuring blanks for accuracy', 'Using measuring tools', 'Replacing machine fixtures', 'Replacing cutting tools']","['Metal cutting machines', 'Lathes', 'Mills', 'Drilling machines', 'Grinding machines', 'Planers', 'Polishing machines', 'Multifunctional metalworking machines with numerical control', 'Measuring tools']","['Metalworking', 'Machine operation', 'Quality control']",[],[],,,[],[],ok
22,BG23,Foundry worker,Bulgaria,931,Mining and Construction Labourers,"['Manual production of foundry molds', 'Production of cores for metal casting', 'Cleaning and smoothing of castings', 'Repairing and removing surface defects', 'Placing the pattern in foundry molds', 'Cutting channels, pouring channels, and holes in foundry molds', 'Lifting and separating foundry mold sections']",['Auxiliary equipment'],"['Foundry mold production', 'Metal casting']",[],[],,,[],[],ok
23,BG24,"Dispatcher, vehicles",Bulgaria,441,Other Clerical Support Workers,[],['computer program'],['security'],[],[],,,['Interacting through digital technologies'],[],ok
24,BG25,"Manager, Production",Bulgaria,132,"Manufacturing, Mining, Construction and Distribution Managers","['production scheduling', 'resource allocation', 'process optimization', 'quality control', 'regulatory compliance', 'supplier and client management', 'production metrics analysis', 'ERP systems', 'production software']","['ERP systems', 'production software']","['synthetic fiber production', 'production process', 'safety standards', 'environmental standards']","['leadership', 'organizational abilities', 'planning skills', 'analytical skills', 'communication skills', 'management skills']",[],,,"['Managing data, information and digital content', 'Evaluating data, information and digital content']",['Valuing sustainability'],ok
25,BG26,"Programmer, software applications",Bulgaria,251,Software and Applications Developers and Analysts,"['Designing web applications', 'Developing web applications', 'PHP 7.2+', 'PostgreSQL', 'Query optimization', 'Recursive CTEs', 'Logging slow queries', 'EXPLAIN ANALYZE', 'Front-end development', 'ExtJs', 'Back-end development', 'Zendframework 2']","['PHP 7.2+', 'PostgreSQL', 'ExtJs', 'Zendframework 2']","['Web application development', 'Database management', 'Query optimization', 'Hierarchical data processing']",[],[],,,[],[],ok
26,BG27,"Technician, mechanic",Bulgaria,723,Machinery Mechanics and Repairers,"['machine maintenance', 'mechanical equipment repair', 'preventive maintenance', 'equipment adjustment', 'machine disassembly and assembly', 'equipment installation and setup', 'malfunction identification and resolution']",[],"['mechanical systems', 'machine operation']","['monitoring', 'reporting']",[],,,[],[],ok
27,BG28,"Worker, press for ceramic and porcelain products",Bulgaria,818,Other Stationary Plant and Machine Operators,"['Machine operation', 'Machine maintenance', 'Quality monitoring']",[],"['Mechanical equipment', 'Press machinery']","['Attention to detail', 'Responsibility']",[],,,[],[],ok
