job_id,job_title,date,company_name,country,country_code,region,field,full_description
1199223,Kurumsal İlişkiler Operasyon Yöneticisi,,ALPA DANIŞMANLIK İNSAN KAYNAKLARI ÖZEL İSTİHDAM ARACILIK HİZ.LTD.ŞTİ.,Turkey,TR,İstanbul Avrupa Yakası,Other/Undefined,"İş Tanımı Danışmanlığını yapmakta olduğumuz Üretici-ihracatçı.gıda sektörü Toptan ticaret ve Tedarikçi firmanın.kurumsal mülşteriler operasyon süreçlerini yönetecek ""Kurumsal İlişkiler Operasyon Yöneticisi"" istihdam edilecektir. Aranan Nitelikler Üniversitelerinn lisans düzeyinde bölümlerinden mezun: -Tercihen İşletme,Pazarlama,Yabancı Diller Bölümleri,Veteriner Hekim,Ziraat Mühendisi,Gıda Mühendisi,Endüstri Mühendisi,Kimya Mühendisi bölümlerinden mezun. -İngilizce dilbilgisi iyi olan, -Aktif araç kullanabilen, -Seyahat engeli ve yükseklik korkusu bulunmayan, -Tercihen:Pazarlama,Satış,Müşteri İlişkileri,İş Geliştirme,Operasyon Yöneticiliği,İşletme Yöneticiliği deneyimleri 7 yıl ve üzerinde olan, -İş hayatı deneyimleri 7-10 yıl ve üzerinde olan,Alternatif ve aykırı düşünme yeteneklerine sahip olan,Muhatabını iyi dinleyen ve problem çözmede özgün çöümler bulabilen, -Yöneticinin belirlemiş olduğu gıda projelerinde aktif rol alabilecek, -Ticari ilişki yönetimi ve müzakere yeteneklerine sahip,ikna yeteneği yüksek, -İletişimi iyi,diksiyonu düzgün,Takım çalışmasına uyumlu, -Satınalma ve tedarik yönetiminde deneyimli,proje yönetimi konularında deneyimli, -Genel idari personellerin yönetiminde başarılı,idari işler deneyimli, -Dinamik,iş takibinde azimli,iş süreçlerinde stratejik yaklaşımlar sergileyebilen ve insiyatif alabilen, -Analitik düşünme ve hızlı pratik karar verebilme yeteneklerine sahip, -İş ve proje yönetimini uçtan uca takip edip sonuçlandırabilme, -Yöneticinin ajandasını planlayabilme ve takip edebilme, -Ticari terim ve terminolojiye olabildiği kadar hakim, -Yeniliklere açık,kendini daima geliştirebilen, -Kariyer ve başarı hedefleri olan, -İş ve meslek disiplinlerini edinmiş,planlama ve raparlama yeteneklerine sahip, -İstanbul Anadolu ve Avrupa Yakası ikametli veya ikamet edebilecek olan adaylar istihdam edilecektir. NOT: ÖZGEÇMİŞLERİ FOTOĞRAFSIZ VE ADRES BİLGİLERİ YETERSİZ ADAYLARIN MÜRACATLARI DİKKATE ALINMAYACAKTIR. ""Firmamız aracılığı ile iş arayan adayların özgeçmişleri ve müracat formunda belirtilen; Kimlik,Eğitim-Mezuniyet gibi bilgilerin İŞKUR KRİTERLERİ gereği resmi evrak ile teyidi ve müracat anında firmamıza ibrazı  gerekmektedir. ""ALPA DANIŞMANLIK İNSAN KAYNAKLARI ÖZEL İSTİHDAM ARACILIK EĞİTİM HİZMETLERİ LTD.ŞTİ ""Türkiye İş Kurumu' nun 303 numaralı izin belgesi ile 2008 yılından beri ""İŞKUR Özel İstihdam Bürosu"" faaliyetlerini aralıksız sürdürmektedir. ""ALPA DANIŞMANLIK İNSAN KAYNAKLARI ÖZEL İSTİHDAM ARACILIK HİZ.LTD.ŞTİ."" Türkiye İş Kurumu' nun 303 numaralı izin belgesi ile faaliyetlerini sürdürmektedir."
1200377,Şantiye Şefi - Otel Projeleri,,BOF MİMARİ TASARIM AHŞAP METAL İNŞAAT UYG.İMALAT SAN VE TİC LTD ŞTİ,Turkey,TR,İstanbul Avrupa Yakası,Other/Undefined,"İş Tanımı Mimari, İnşaat, Üretim ve Turizm alanlarında İstanbul Anadolu Yakasında faaliyet gösteren firmamızın Şişli lokasyonunda yer alan Otel Proje biriminde görevlendirilmek üzere, şantiye sahasında aktif olarak görev alacak, taşeron ekipleri iş programına göre yönlendirebilecek ve uygulama kalitesini sahada sağlayabilecek deneyimli bir Şantiye Şefi arayışımız bulunmaktadır. İŞ TANIMI - Otel projelerinde şantiye sahasında birebir iş takibi yapmak, - Taşeron ekiplerini iş programına uygun şekilde yönlendirmek ve denetlemek, - Saha uygulamalarının proje ve kalite standartlarına uygunluğunu sağlamak, - Metraj, keşif ve hakediş çalışmalarını yürütmek, - Proje yöneticileriyle koordineli çalışarak işin ilerleyişini raporlamak, - Günlük ve haftalık saha raporlarını hazırlamak. Aranan Nitelikler GENEL NİTELİKLER - Üniversitelerin İnşaat Mühendisliği bölümünden mezun, - En az 5 yıl şantiye tecrübesine sahip, - Kaba inşaat ve ince yapı imalatlarında aktif görev almış, - Saha uygulama kalitesi konusunda deneyimli, - Metraj, keşif ve hakediş hazırlama konularında bilgili, - MS Office ve AutoCAD programlarına hakim, - Ehliyet sahibi ve aktif araç kullanabilen, - Seyahat engeli bulunmayan, - Askerlik görevini tamamlamış (erkek adaylar için), - Esnek çalışma saatlerine uyum sağlayabilecek, - İletişim ve temsil yeteneği güçlü, - Takım çalışmasına yatkın, - Saha yönetimi, taşeron koordinasyonu ve iş programı takibi konularında yetkin."
1202091,Satış Mühendisi,,ALİMAR MAKİNA SAN.TİC.A.Ş,Turkey,TR,İstanbul Avrupa Yakası,Other/Undefined,"İş Tanımı Satış Mühendisi Aranan Nitelikler Şirketimizin Yurt İçi Satış ve Pazarlama Departmanı'nda aşağıdaki niteliklere sahip ""Satış Mühendisi"" istihdam edilecektir: Üniversitelerin Elektrik / Makine Mühendisliği veya ilgili diğer bölümlerinden mezun Firmaların satış bölümlerinde asgari 2 yıl deneyimli (jeneratör, iş makineleri veya tarım makineleri sektörlerinde çalışmış olmak tercih nedenidir) MS Office programlarına hakim Seyahat engeli olmayan Aktif araç kullanabilen Disiplinli ve iletişim yeteneği güçlü."
1201860,KALİTE GÜVENCE MÜHENDİSİ- HVAC,,Frigo Mekanik,Turkey,TR,İstanbul Avrupa Yakası - Esenyurt,Other/Undefined,"İş Tanımı 1988 yılında kurulan Frigo Mekanik A.Ş., endüstriyel soğutma sektöründe uzmanlaşmıştır. Kuruluşundan bu yana, soğutma sistemleri projelendirme, üretim ve taahhüt hizmetleri sunarak anahtar teslimi soğutma sistemleri kurmaktadır.Frigo Mekanik, geniş proje yelpazesiyle her türlü endüstriyel soğutma sistemi (Amonyak, CO² ve F-Gaz) projelendirme ve uygulama ihtiyaçlarını karşılayacak kapasite, uzmanlık ve mühendislik bilgisine sahiptir.Gıda endüstrisi için soğuk ve donmuş ürün depoları, şoklama sistemleri, proses soğutması ve ürün olgunlaştırma odaları, havalandırma ve işleme alanları soğutması; eğlence/spor endüstrisi için buz paten sahaları ve kayak pistleri; savunma ve teknoloji endüstrileri için klimatik test odaları tasarlamakta ve uygulamasını gerçekleştirmektedir.Frigo Mekanik, sunduğu tüm hizmetlerle, her işletmeye özel, kullanıcı ve çevre dostu, sürdürülebilir sistemler kurmayı hedeflemektedir. Hem yurt içinde hem de yurt dışında birçok projeye imza atan Frigo Mekanik, sektörde lider firmalar arasında yer almaktadır Kalite yönetim sistemlerinin (ISO 9001 vb.) uygulanması ve geliştirilmesi Üretim süreçlerinin kalite kontrollerinin yapılması Proses iyileştirme çalışmaları için analiz ve raporlama Tedarikçi değerlendirme ve denetimleri Kalite dokümantasyonu hazırlama ve güncelleme Kalite problemlerinin kök neden analizlerinin yapılması Kalite KPI’larının hazırlanması ve raporlanması Müşteri kalite sorunlarının yönetilmesi ve çözüm süreçlerinin takibi Şantiye bazlı Kalite ve İSG süreçlerine destek ve raporlanması takibi Aranan Nitelikler Üniversitelerin Mühendislik bölümlerinden mezun, İyi derecede İngilizce bilen, Kalite Yönetim Sistemleri ve Kalite Kontrol uygulamaları ile ilgili en az 5 yıl deneyimli, Belgelendirme ve dış ilişkileri yürütecek, Tercihen Üretim/ Mühendislik  sektörlerinde benzer pozisyonlarda görev almış, ERP ve Ms Ofis Programlarını etkin kullanabilen, İletişim becerisi yüksek,Problem çözme yeteneği gelişmiş, Erkek adaylar için askerlik görevini tamamlamış, Aktif Araç kullanabilen Seyahat engeli olmayan Saha kontrol görevlerini yerine getiren çalışma arkadaşları aramaktayız, Fotoğraflı özgeçmişler dikkate alınacaktır"
1201829,İnşaat Mühendisi,,ALTINBAŞ İNŞAAT SAN. VE TIC. LTD. ŞTI.,Turkey,TR,Balıkesir - Karesi,Other/Undefined,"İş Tanımı İş İlanı: İnşaat Mühendisi Şirket: ALTINBAŞ İNŞAAT SAN. VE TIC. LTD. ŞTI. ALTINBAŞ İNŞAAT SAN. VE TIC. LTD. ŞTI. olarak, Ayvalık - Sarımsaklı ofisimizde görevlendirilmek üzere bir İnşaat Mühendisi arıyoruz. Aranan Nitelikler - Üniversitelerin İnşaat Mühendisliği bölümünden mezun - En az 5 yıl deneyimli - Tercihen Ayvalık Sarımsaklı da ikamet eden - Teknik ofis ve kalite kontrol mühendisi olarak görev alacak"
1201789,Kimya Mühendisi,,BMT TEKNOLOJİ VE PROSES GELİŞTİRME LTD.ŞTİ,Turkey,TR,Kocaeli - Gebze,Other/Undefined,"İş Tanımı İşletmemizin TÜBİTAK-MAM Teknoloji Geliştirme Bölgesi’nde bulunan tesisimizde, Dermokozmetik (Kozmesötik) Ar-Ge ve Üretim alanında çalışacak Kimya Mühendisi çalışma arkadaşları aramaktayız, Aranan Nitelikler Üniversitelerin Kimya Mühendisliği/Kimya bölümlerinden mezun, Takım çalışmasına yatkın, iletişim becerileri güçlü, Dikkatli ve titiz çalışma, iş takibi konularında yetkin olmak, MS Office programlarını etkin olarak kullanabilen Esnek çalışma saatlerine uyum sağlayabilecek,İ İstanbul Anadolu Yakasında veya Darıca/Gebze ilçelerinde de ikamet eden,"
631267,Endüstri Mühendisi,,Bağdat Baharat,Turkey,TR,Ankara,Other/Undefined,"İş Tanımı Fabrikamızın üretim bölümünü organize edecek Endüstri Mühendisi Aranıyor. (İşinde iyi olanlara Bağdat Baharat'ta her zaman iş imkanı vardır.) Aranan Nitelikler Yol problemi olmaması için Etimesgut,Sincan,Fatih, Törekent, Yenikent, Eryaman Bölgelerinde İkamet Edenler Tercih Edilecektir. Bu B ölgelere Servisimiz Mevcuttur Şartlara uymayan adaylaın başvurusu dikkate alınmayacaktır.!!!"
1194274,İnşaat Mühendisi,,HILTON TÜRKİYE,Turkey,TR,Adana - Seyhan,Other/Undefined,"İş Tanımı Pozisyon: İnşaat Mühendisi- Şantiye şefi Görevler: - Yeni projelerin tasarım ve uygulama süreçlerini yönetmek - İnşaat projelerinin maliyet analizlerini yapmak ve bütçe kontrolünü sağlamak - İnşaat sürecinde kalite kontrolünü sağlamak ve gerekli düzeltmeleri yapmak - İş sağlığı ve güvenliği kurallarına uygun çalışma ortamını sağlamak - Proje süreçlerini zamanında ve bütçe dahilinde tamamlamak Aranan Nitelikler - İnşaat Mühendisliği lisans mezunu - Şantiye şefliği yapabilicek - Şantiyede aktif çalışabilecek, saha tecrübesi olan - Alanında 5 yıldan fazla tecrübesi olan - Autocad, MS Office, tercihen Revit, Primavera veya MS Project gibi yazılımları kullanabilen - Metraj, keşif, hakediş, imalat takibi, raporlama konularına hakim - Malzeme bilgisi ve teknik şartnamelere uygunluk konularında dikkatli - Planlama, organizasyon ve iletişim becerileri güçlü - Takım çalışmasına yatkın, gerektiğinde inisiyatif alabilen - Erkek adaylar için askerlik görevini tamamlamış olmak - Seyahat engeli olmayan - Yoğun iş temposuna ve esnek çalışma saatlerine uyum sağlayabilecek"
1187192,İnşaat Mühendisi,,METAMAR MERMER GRANİT MADENCİLİK SAN. VE TİC. A.Ş.,Turkey,TR,Isparta,Other/Undefined,"İş Tanımı Doğal Taş ve İnşaat sektöründe faaliyet gösteren firmamızın Isparta Merkez Fabrikasında bulunan proje ve üretim birimlerinde görevlendirilmek üzere İnşaat Mühendisi aranmaktadır. Aranan Nitelikler - İnce işler konusunda yetkin; planlama, organizasyon ve koordinasyon yeteneklerine sahip."
1062436,Gıda Mühendisi,,Bağdat Baharat,Turkey,TR,Ankara,Other/Undefined,"İş Tanımı SİNCAN ORGANİZE SANAYİ BÖLGESİNDEKİ FABRİKAMIZDA ÇALIŞACAK, İŞİNİ İYİ BİLEN, LABORATUVARI SEVK VE İDARE EDECEK BAY/BAYAN GIDA MÜHENDİSİ ARANIYOR. Aranan Nitelikler SİNCAN-FATİH-ERYAMAN-YENİKENT-ETİMESGUT SEMTLERİNDE OTURANLAR TERCİH EDİLECEKTİR. BU SEMTLER DIŞINDA OLAN ADAYLARIN BAŞVURULARI GEÇERSİZ SAYILACAKTIR."
