job_id,job_title,date,company_name,country,country_code,region,coordinates,full_description,isco_3_digit,isco_3_digit_label,isco_4_digit,isco_4_digit_label,phd_context_valid,master_context_valid,phd_field,master_field,education_field_phd_clean,education_field_master_clean
BG1,"Engineer, designer",2025-12-05,KSELLA TCISE EOOD,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)",- CAD design and construction of standard and non-standard roofs and walls from prefabricated elements/panels - preparation of quantity estimates; - coordination of the project with designers and contractors; - collaboration and teamwork with other structural units of the company,214,Engineering Professionals (excluding Electrotechnology),2142.0,Unknown,,,,,,
BG2,"Engineer, investor control",2025-11-06,MUNICIPAL ENTERPRISE 'INVESTMENT POLICY' division,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","Prepares preliminary quantity-cost estimates for new construction, rehabilitation, major repairs, and current repairs. Monitors the work of the contractor, construction supervision of the sites. Inspects the sites, identifies, controls, reports in case of discrepancies, accepts and reports on the work at the sites. Compliance with duties according to job description; the internal rules and procedures describing the stages of the process for investor control; the internal labor regulations. Knowledge of legal provisions related to construction and control.",132,"Manufacturing, Mining, Construction and Distribution Managers",1323.0,Unknown,,,,,,
BG3,Service technician,2025-10-22,RENTAM EAD,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","Diagnoses and services lifts, platforms, generators, and others in the region of Stara Zagora and its surroundings/Southwest. Fills out service protocols for performed repairs. Prepares and inspects the machines before handing them over to the client. Participates in the acceptance of machines and their cleaning.",351,Information and Communications Technology Operations and User Support Technicians,3511.0,Unknown,,,,,,
BG4,Technical Support Consultant – Swedish Speaking,2025-09-04,Recruitas AB,Bulgaria,BG,Sofia,"(42.6977, 23.3219)","Are you looking to take the next step in your career and grow in an international environment? Our client – a global leader in customer experience solutions – is now expanding their team in Sofia, and they’re looking for Swedish-speaking tech enthusiasts to join their dynamic support team. About the Role: As a Technical Solutions Consultant, you'll help users get the most out of well-known tech products and services. Your main tasks will include: Providing outstanding customer support via phone, email, and chat Troubleshooting and guiding customers through technical issues Understanding customer needs and delivering effective solutions Ensuring excellent client experience and satisfaction No previous experience is required – full training is provided! What matters most is your fluency in Swedish, good English skills, a positive attitude, and a genuine interest in technology. What’s in It for You: Fully paid training to set you up for success Long-term career opportunities in a stable and growing company Attractive salary package + bonuses Private health insurance and access to wellness services 50+ employee benefits to choose from A friendly international work environment with colleagues from all over Europe Ongoing support and professional development Employee referral bonuses Be part of a company that prioritizes well-being, growth, and team spirit Why Live and Work in Sofia? Sofia offers a vibrant, affordable lifestyle in the heart of the Balkans. With a rich cultural history, modern infrastructure, and a lively expat community, the city combines professional opportunity with amazing leisure – including: Low living costs and high quality of life Beautiful nearby mountains for hiking and skiing Lively cafés, bars, and cultural festivals year-round Direct connections to major European cities A welcoming and diverse international scene Ready to launch your international career? Apply now and take your first step toward an exciting future in Bulgaria or send an email to erika@recruitas.com if you have any questions!",351,Information and Communications Technology Operations and User Support Technicians,3512.0,Unknown,,,,,,
BG5,"Organizer, processing of production information",2025-10-20,BULLTEK OOD,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)","Planning of material needs using all available planning tools (mainly ERP system); Data analysis for movements of materials and stocks; Monitoring and optimization of stock levels; Input and maintenance of necessary information in ERP for material and production planning, using all available technical means; Coordinating the production flow for one or several products Good command of English and office package (mainly Excel), working with ERP system",121,Business Services and Administration Managers,1213.0,Unknown,,,,,,
BG6,"Machine operator, metalworking machines",2025-10-15,FORTIBUS ENGINEERING EOOD,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)",Performs activities related to the setup (programming) and operation of computer-controlled metalworking machines. Assembles and installs the fixtures and tools on the machine. Loads the toolset with cutting tools. Operates the machine in manual and automatic mode.,814,"Rubber, Plastic and Paper Products Machine Operators",8141.0,Unknown,,,,,,
BG7,"Assembler, electrical equipment",2025-07-01,MONEL OOD,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","Connecting and mounting of grids, cables, panels, etc.; work on sites in Ruse and the country basic concepts for installation, technical literacy.",821,Assemblers,8212.0,Unknown,,,,,,
BG8,"Assembler, cables",2025-08-21,COMTRADE OOD,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)",Installation of video surveillance systems. The candidate must have technical skills to work with tools and carry out wiring for low-current installations. A driver's license is required. Previous experience is not necessary.,821,Assemblers,8212.0,Unknown,,,,,,
BG9,"Developer, software",2025-10-01,ES BI TEK (GLOBAL) LIMITED - BRANCH BULGARIA KCHT Branch of a foreign entity,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)","Is responsible for the condition and functioning of developed software products and systems; Introduces, adapts, and maintains software products and systems; Compiles algorithms and flowcharts for certain programs or parts of them; Is responsible for damages caused by the information and software assurance system; Performs specific tasks assigned related to the position. The PM roles are for persons with 50% and above 50% disability as per quota under Article 38, paragraph 1 of the ZHU.",251,Software and Applications Developers and Analysts,2512.0,Unknown,,,,,,
BG10,"Developer, interactive content",2025-06-25,Bosch Digital EOOD,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)","1. Designs user-friendly and user-oriented interface solutions for various projects, utilizing skills and experience in the listed technologies 2. Assists in the overall development and maintenance of the company’s digital design system, along with the central corporate design team. 3. Ensures consistently high quality of user experience related to the company's brand 4. Participates in the entire design process from gathering requirements together with the product owner to creating mockups of user interfaces and design specifications. 5. Actively implements design improvements based on user feedback. 6. Works closely with software development teams, following agile principles in implementing user interfaces. 7. Collaborates with relevant stakeholders from various departments within the company as well as with external suppliers.",251,Software and Applications Developers and Analysts,2513.0,Unknown,,,,,,
