isco_3_digit_label,noun_phrase,mean_tfidf,rank,greencomp_competences,greencomp_domains,digcomp_competences,digcomp_domains
"Agricultural, Forestry and Fishery Labourers",care,0.0761266375299498,1.0,[],[],[],[]
"Agricultural, Forestry and Fishery Labourers",animals,0.0511613730543351,2.0,[],[],[],[]
"Agricultural, Forestry and Fishery Labourers",work,0.0488620064210377,3.0,[],[],[],[]
"Agricultural, Forestry and Fishery Labourers",tools,0.04346496549807,4.0,[],[],[],[]
"Agricultural, Forestry and Fishery Labourers",ireland,0.0411008793311389,5.0,[],[],[],[]
"Agricultural, Forestry and Fishery Labourers",equipment,0.040705548512931,6.0,[],[],[],[]
"Agricultural, Forestry and Fishery Labourers",person,0.0378872439785414,7.0,[],[],[],[]
"Agricultural, Forestry and Fishery Labourers",them,0.037097728825041,8.0,[],[],[],[]
"Agricultural, Forestry and Fishery Labourers",plants,0.0368969906704554,9.0,[],[],[],[]
"Agricultural, Forestry and Fishery Labourers",maintenance,0.0358064035217348,10.0,[],[],['Solving technical problems'],['Problem-solving']
"Agricultural, Forestry and Fishery Labourers",utilities,0.0336444280049023,11.0,[],[],[],[]
"Agricultural, Forestry and Fishery Labourers",construction,0.0305199013486465,12.0,[],[],[],[]
"Agricultural, Forestry and Fishery Labourers",farmers,0.0275863650931411,13.0,[],[],[],[]
"Agricultural, Forestry and Fishery Labourers",job_consultation,0.0261725786631886,14.0,[],[],[],[]
"Agricultural, Forestry and Fishery Labourers",cleaning,0.0256281829028633,15.0,[],[],[],[]
"Agricultural, Forestry and Fishery Labourers",photovoltaic_systems,0.02558478465316,16.0,['Systems thinking'],['Embracing complexity in sustainability'],[],[]
"Agricultural, Forestry and Fishery Labourers",order,0.0254364757834399,17.0,[],[],[],[]
"Agricultural, Forestry and Fishery Labourers",maria_ioakim,0.0251570501291628,18.0,[],[],[],[]
"Agricultural, Forestry and Fishery Labourers",eures_advisor,0.0244204479930032,19.0,[],[],[],[]
"Agricultural, Forestry and Fishery Labourers",genetics,0.0242759459362256,20.0,[],[],[],[]
"Architects, Planners, Surveyors and Designers",autocad,0.0444564114724954,1.0,[],[],[],[]
"Architects, Planners, Surveyors and Designers",experience,0.043792053698686,2.0,[],[],[],[]
"Architects, Planners, Surveyors and Designers",ms_office_suite,0.0342010315225544,3.0,[],[],[],[]
"Architects, Planners, Surveyors and Designers",architecture,0.0313142257095912,4.0,[],[],[],[]
"Architects, Planners, Surveyors and Designers",solidworks,0.0303552315908876,5.0,[],[],[],[]
"Architects, Planners, Surveyors and Designers",more_details,0.0298146915957449,6.0,[],[],[],[]
"Architects, Planners, Surveyors and Designers",ability,0.0276854261306755,7.0,[],[],[],[]
"Architects, Planners, Surveyors and Designers",photoshop,0.0275999441933335,8.0,[],[],[],[]
"Architects, Planners, Surveyors and Designers",knowledge,0.024073425820263,9.0,[],[],[],[]
"Architects, Planners, Surveyors and Designers",candidates,0.0232146877691172,10.0,[],[],[],[]
"Architects, Planners, Surveyors and Designers",work_experience,0.0222322492456897,11.0,[],[],[],[]
"Architects, Planners, Surveyors and Designers",istanbul,0.0219664610903602,12.0,[],[],[],[]
"Architects, Planners, Surveyors and Designers",preparation,0.0217410421734407,13.0,[],[],[],[]
"Architects, Planners, Surveyors and Designers",civil_engineering,0.0200526254711785,14.0,[],[],[],[]
"Architects, Planners, Surveyors and Designers",materials,0.0197326129788198,15.0,[],[],[],[]
"Architects, Planners, Surveyors and Designers",education,0.0194872809840625,16.0,[],[],[],[]
"Architects, Planners, Surveyors and Designers",development,0.0193601655205551,17.0,[],[],['Developing digital content'],['Digital content creation']
"Architects, Planners, Surveyors and Designers",design,0.0191800799882029,18.0,[],[],['Developing digital content'],['Digital content creation']
"Architects, Planners, Surveyors and Designers",revit,0.0187068842376566,19.0,[],[],[],[]
"Architects, Planners, Surveyors and Designers",application_method,0.0185084429793732,20.0,[],[],[],[]
Assemblers,installation,0.0752085075714007,1.0,[],[],[],[]
Assemblers,assembly,0.0542216935461742,2.0,[],[],[],[]
Assemblers,polish,0.0431340949142675,3.0,[],[],[],[]
Assemblers,education,0.0378572061244168,4.0,[],[],[],[]
Assemblers,experience,0.036814843028824,5.0,[],[],[],[]
