isco_3_digit_label,noun_phrase,mean_tfidf,rank
"Agricultural, Forestry and Fishery Labourers",care,0.0761266375299498,1.0
"Agricultural, Forestry and Fishery Labourers",animals,0.051161373054335144,2.0
"Agricultural, Forestry and Fishery Labourers",work,0.048862006421037746,3.0
"Agricultural, Forestry and Fishery Labourers",tools,0.04346496549807002,4.0
"Agricultural, Forestry and Fishery Labourers",ireland,0.041100879331138936,5.0
"Agricultural, Forestry and Fishery Labourers",equipment,0.040705548512931,6.0
"Agricultural, Forestry and Fishery Labourers",person,0.037887243978541485,7.0
"Agricultural, Forestry and Fishery Labourers",them,0.037097728825041004,8.0
"Agricultural, Forestry and Fishery Labourers",plants,0.03689699067045543,9.0
"Agricultural, Forestry and Fishery Labourers",maintenance,0.035806403521734885,10.0
"Agricultural, Forestry and Fishery Labourers",utilities,0.03364442800490231,11.0
"Agricultural, Forestry and Fishery Labourers",construction,0.03051990134864658,12.0
"Agricultural, Forestry and Fishery Labourers",farmers,0.027586365093141153,13.0
"Agricultural, Forestry and Fishery Labourers",job_consultation,0.026172578663188607,14.0
"Agricultural, Forestry and Fishery Labourers",cleaning,0.025628182902863384,15.0
"Agricultural, Forestry and Fishery Labourers",photovoltaic_systems,0.025584784653160046,16.0
"Agricultural, Forestry and Fishery Labourers",order,0.02543647578343996,17.0
"Agricultural, Forestry and Fishery Labourers",maria_ioakim,0.025157050129162827,18.0
"Agricultural, Forestry and Fishery Labourers",eures_advisor,0.024420447993003268,19.0
"Agricultural, Forestry and Fishery Labourers",genetics,0.024275945936225608,20.0
"Architects, Planners, Surveyors and Designers",autocad,0.044456411472495405,1.0
"Architects, Planners, Surveyors and Designers",experience,0.04379205369868601,2.0
"Architects, Planners, Surveyors and Designers",ms_office_suite,0.03420103152255447,3.0
"Architects, Planners, Surveyors and Designers",architecture,0.03131422570959124,4.0
"Architects, Planners, Surveyors and Designers",solidworks,0.03035523159088761,5.0
"Architects, Planners, Surveyors and Designers",more_details,0.029814691595744985,6.0
"Architects, Planners, Surveyors and Designers",ability,0.027685426130675525,7.0
"Architects, Planners, Surveyors and Designers",photoshop,0.027599944193333524,8.0
"Architects, Planners, Surveyors and Designers",knowledge,0.024073425820263093,9.0
"Architects, Planners, Surveyors and Designers",candidates,0.0232146877691172,10.0
"Architects, Planners, Surveyors and Designers",work_experience,0.022232249245689794,11.0
"Architects, Planners, Surveyors and Designers",istanbul,0.02196646109036023,12.0
"Architects, Planners, Surveyors and Designers",preparation,0.02174104217344077,13.0
"Architects, Planners, Surveyors and Designers",civil_engineering,0.020052625471178583,14.0
"Architects, Planners, Surveyors and Designers",materials,0.019732612978819807,15.0
"Architects, Planners, Surveyors and Designers",education,0.019487280984062563,16.0
"Architects, Planners, Surveyors and Designers",development,0.019360165520555195,17.0
"Architects, Planners, Surveyors and Designers",design,0.019180079988202904,18.0
"Architects, Planners, Surveyors and Designers",revit,0.018706884237656655,19.0
"Architects, Planners, Surveyors and Designers",application_method,0.018508442979373263,20.0
Assemblers,installation,0.07520850757140075,1.0
Assemblers,assembly,0.054221693546174246,2.0
Assemblers,polish,0.04313409491426759,3.0
Assemblers,education,0.03785720612441688,4.0
Assemblers,experience,0.03681484302882401,5.0
Assemblers,training,0.03614268344552809,6.0
Assemblers,parts,0.035347218815744035,7.0
Assemblers,requirements,0.03223670684597627,8.0
Assemblers,persons,0.03221377354488814,9.0
Assemblers,cv_-_application_languages,0.03169023922285551,10.0
Assemblers,candidates,0.02986753581847799,11.0
Assemblers,metals,0.029633959945702382,12.0
Assemblers,packaging,0.02945107412735697,13.0
Assemblers,possibility,0.02880762748696667,14.0
Assemblers,place,0.02743921580987936,15.0
Assemblers,job_responsibilities,0.026432954583233317,16.0
Assemblers,hydraulics,0.02444190627368707,17.0
Assemblers,hour,0.02363087204358089,18.0
Assemblers,necessary_-_others,0.02334062386557393,19.0
Assemblers,technical_drawings,0.022667708402958047,20.0
"Blacksmiths, Toolmakers and Related Trades Workers",milling_machines,0.0835713950431612,1.0
"Blacksmiths, Toolmakers and Related Trades Workers",welding,0.07921318042361476,2.0
"Blacksmiths, Toolmakers and Related Trades Workers",metal_parts,0.07350888624274209,3.0
"Blacksmiths, Toolmakers and Related Trades Workers",task_execution,0.06087351502148682,4.0
"Blacksmiths, Toolmakers and Related Trades Workers",advantages,0.05917193148863667,5.0
"Blacksmiths, Toolmakers and Related Trades Workers",accommodation,0.05867816432326878,6.0
"Blacksmiths, Toolmakers and Related Trades Workers",equipment_maintenance,0.05686980462540628,7.0
"Blacksmiths, Toolmakers and Related Trades Workers",precision,0.05384625566616624,8.0
"Blacksmiths, Toolmakers and Related Trades Workers",quality_standards,0.0536747846449375,9.0
"Blacksmiths, Toolmakers and Related Trades Workers",repair,0.05022521752956053,10.0
"Blacksmiths, Toolmakers and Related Trades Workers",execution,0.04815454296099744,11.0
"Blacksmiths, Toolmakers and Related Trades Workers",other_tasks,0.044300516016416186,12.0
"Blacksmiths, Toolmakers and Related Trades Workers",experience,0.0432361886457411,13.0
"Blacksmiths, Toolmakers and Related Trades Workers",quality,0.04314494322175403,14.0
"Blacksmiths, Toolmakers and Related Trades Workers",application,0.0420734429596931,15.0
"Blacksmiths, Toolmakers and Related Trades Workers",assembly,0.0406107365920725,16.0
"Blacksmiths, Toolmakers and Related Trades Workers",professionals,0.0366054197964753,17.0
"Blacksmiths, Toolmakers and Related Trades Workers",technical_specifications,0.03517125080049616,18.0
"Blacksmiths, Toolmakers and Related Trades Workers",manufacture,0.034689671218209976,19.0
"Blacksmiths, Toolmakers and Related Trades Workers",dynamism,0.033586907187509854,20.0
Building Finishers and Related Trades Workers,installation,0.15520398650250744,1.0
Building Finishers and Related Trades Workers,maria_ioakim,0.10302898685563615,2.0
Building Finishers and Related Trades Workers,home_possibility,0.06410606916096843,3.0
Building Finishers and Related Trades Workers,job_responsibilities,0.06336656031242288,4.0
Building Finishers and Related Trades Workers,assembly,0.05312482931845635,5.0
Building Finishers and Related Trades Workers,windows,0.05038400372511209,6.0
Building Finishers and Related Trades Workers,repair,0.046831720153772675,7.0
Building Finishers and Related Trades Workers,business_trips,0.04284284344866792,8.0
Building Finishers and Related Trades Workers,activities,0.041145930088435735,9.0
Building Finishers and Related Trades Workers,our_part,0.040766595104130214,10.0
Building Finishers and Related Trades Workers,eur,0.03836130005325688,11.0
Building Finishers and Related Trades Workers,door,0.03749778805066619,12.0
Building Finishers and Related Trades Workers,working_hours,0.037328704641923734,13.0
Building Finishers and Related Trades Workers,doors,0.03673807994894326,14.0
Building Finishers and Related Trades Workers,possibility,0.036305944906386806,15.0
Building Finishers and Related Trades Workers,work,0.03630404253310924,16.0
Building Finishers and Related Trades Workers,requirements,0.03601555835660132,17.0
Building Finishers and Related Trades Workers,adjustment,0.033304955457171,18.0
Building Finishers and Related Trades Workers,jobs,0.03290207238621523,19.0
Building Finishers and Related Trades Workers,experience,0.03147904038584844,20.0
Building Frame and Related Trades Workers,experience,0.06839814920196866,1.0
Building Frame and Related Trades Workers,installation,0.05907706151625833,2.0
Building Frame and Related Trades Workers,walls,0.047618892636634484,3.0
Building Frame and Related Trades Workers,job_description,0.04006019868225642,4.0
Building Frame and Related Trades Workers,assembly,0.03952204557495393,5.0
Building Frame and Related Trades Workers,ceilings,0.03659509304540115,6.0
Building Frame and Related Trades Workers,insulation,0.035482537145457356,7.0
Building Frame and Related Trades Workers,doors,0.03469450535968025,8.0
Building Frame and Related Trades Workers,drawings,0.030965059867325118,9.0
Building Frame and Related Trades Workers,windows,0.03077266212519529,10.0
Building Frame and Related Trades Workers,eures_advisor,0.027597251053341702,11.0
Building Frame and Related Trades Workers,croatia,0.02727726589688004,12.0
Building Frame and Related Trades Workers,polish,0.026191805447592097,13.0
Building Frame and Related Trades Workers,education,0.02576469508556269,14.0
Building Frame and Related Trades Workers,application_method,0.02427420778400417,15.0
Building Frame and Related Trades Workers,foundations,0.024069414391900003,16.0
Building Frame and Related Trades Workers,knowledge,0.02371227433559794,17.0
Building Frame and Related Trades Workers,willingness,0.02250125721801402,18.0
Building Frame and Related Trades Workers,work,0.021148121674517073,19.0
Building Frame and Related Trades Workers,home,0.019690455475545186,20.0
Business Services and Administration Managers,experience,0.03971552220158984,1.0
Business Services and Administration Managers,management,0.02550560144762653,2.0
Business Services and Administration Managers,development,0.023386558964714716,3.0
Business Services and Administration Managers,english,0.0222315977845589,4.0
Business Services and Administration Managers,people,0.021766649594741838,5.0
Business Services and Administration Managers,knowledge,0.0210004370118117,6.0
Business Services and Administration Managers,compliance,0.020748928813349162,7.0
Business Services and Administration Managers,work,0.018373613919040997,8.0
Business Services and Administration Managers,projects,0.018231998113985674,9.0
Business Services and Administration Managers,part,0.017854546207773773,10.0
